0,1,Year,Language,Rank[a],Title,Production company,Distributor,Worldwide gross,Ref.,Opening,Opening.1,Director,Cast,Studio (production house)
,,2025,hindi,,Be Happy,,,,[49],M A R,14.0,Remo D'Souza,Abhishek BachchanNora FatehiNassarInayat VermaJohnny LeverHarleen Sethi,"Remo D'Souza Entertainment, Amazon Prime Video"
,,2025,hindi,,Inn Galiyon Mein,,,,[50],M A R,14.0,Avinash Das,Vivaan ShahAvantika DassaniJaved Jaffrey,Yadunath Films
,,2025,hindi,,Aachari Baa,,,,[51],M A R,14.0,Hardik Gajjar,Neena GuptaVatsal ShethApoorva AroraKabir Bedi,"Jio Studios, Hardik Gajjar Films, Backbencher Pictures"
,,2025,hindi,,Baida,,,,[52],M A R,21.0,Puneet Sharma,Sudhanshu RaiManisha RaiShobhit Sujay,MNM Entertainment
,,2025,hindi,,Tumko Meri Kasam,,,,[53],M A R,21.0,Vikram Bhatt,Anupam KherIshwak SinghAdah SharmaEsha Deol,Indira Entertainment
,,2025,hindi,,Pintu Ki Pappi,,,,[54],M A R,21.0,Shiv Hare,ShushantJaanyaa JoshiViidhiGanesh AcharyaMurali SharmaVijay Raaz,"Mythri Movie Makers, V2S Production & Entertainment"
,,2025,hindi,,Sikandar,,,,[55][56],M A R,30.0,AR Murugadoss,Salman KhanKajal AggarwalRashmika MandannaSathyarajPrateik Babbar,"Nadiadwala Grandson Entertainment, Salman Khan Films"
,,2025,hindi,,Jaat,,,,[57],A P R,10.0,Gopichand Malineni,Sunny DeolRandeep HoodaRegina CassandraSaiyami Kher,"Mythri Movie Makers, People Media Factory"
,,2025,hindi,,Chhorii 2,,,,[58],A P R,11.0,Vishal Furia,Nushrratt BharucchaSoha Ali KhanGashmeer MahajaniSaurabh GoyalPallavi AjayKuldeep SareenHardika Sharma,"T-Series Films, Abundantia Entertainment, Pshych Film, Tamarisk Lane, Amazon Prime Video"
,,2025,hindi,,Kesari Chapter 2,,,,[59],A P R,18.0,Karan Singh Tyagi,Akshay KumarR. MadhavanAnanya Panday,"Dharma Productions, Cape Of Good Films, Leo Media Collective"
,,2025,hindi,,Logout,,,,[60],A P R,18.0,Amit Golani,Babil KhanRasika DugalGandharv DewanNimisha Nair,"Viacom18 Studios, Posham Pa Pictures, ZEE5"
,,2025,hindi,,The Secret of Devkaali,,,,[61][62],A P R,18.0,Niraj Chauhan,Niraj ChauhanBhumika GurungMahesh ManjrekarRamkrishan Dhakad,Chauhan Production
,,2025,hindi,,Ground Zero,,,,[63],A P R,25.0,Tejas Prabha Vijay Deoskar,Emraan HashmiSai TamhankarZoya HussainMukesh TiwariLalit Prabhakar,"Excel Entertainment, Dreamzkrraft Entertainment, Talisman Films"
,,2025,hindi,,Jewel Thief,,,,[64],A P R,25.0,Kookie GulatiRobbie Garewal,Saif Ali KhanJaideep AhlawatNikita DuttaKunal Kapoor,"Marflix Pictures, Netflix"
,,2025,hindi,,Phule,,,,[65],A P R,25.0,Anant Mahadevan,Pratik GandhiPatralekha,"Zee Studios, Dancing Shiva Films, Kingsmen Productions"
,,2025,hindi,,Oye Bhootni Ke,,,,[66],A P R,25.0,Ajay Kailash Yadav,Mahaakshay ChakrabortyNikita SharmaDiana KhanAshoka ThackurChahat Mughal,"Sahatyam Films, Vision Motion Films"
,,2025,hindi,,Raid 2,,,,[67],M A Y,1.0,Raj Kumar Gupta,Ajay DevgnRiteish DeshmukhVaani Kapoor,"T-Series Films, Panorama Studios"
,,2025,hindi,,The Bhootnii,,,,[68],M A Y,1.0,Sidhaant Sachdev,Sanjay DuttMouni RoySunny SinghPalak TiwariBeyounickAasif Khan,"Soham Rockstar Entertainment, Three Dimension Motion Pictures"
,,2025,hindi,,Costao,,,,[69],M A Y,1.0,Sejal Shah,Nawazuddin SiddiquiPriya BapatKishore Kumar GGagan Dev Riar,"Bhanushali Studios, Bombay Fables, ZEE5"
,,2025,hindi,,The Networker,,,,[70],M A Y,9.0,Vikas Kumar Vishwakarma,Vikram KochharDurgesh KumarIshtiyak KhanRishabh PathakBrijendra KalaVindhya TiwariNikhat Khan,"Gutargoo Entertainment, Navritu Films"
,,2025,hindi,,Romeo S3,,,,[71],M A Y,16.0,Guddu Dhanoa,Thakur Anoop SinghPalak Tiwari,"Pen Studios, Wild River Pictures"
,,2025,hindi,,Bhool Chuk Maaf,,,,[72],M A Y,23.0,Karan Sharma,Rajkummar RaoWamiqa Gabbi,"Amazon MGM Studios, Maddock Films"
,,2025,hindi,,Kapkapiii,,,,[73],M A Y,23.0,Sangeeth Sivan,Tusshar KapoorShreyas TalpadeJay ThakkarSiddhi Idnani,"Zee Studios, Bravo Entertainment"
